  id             Faces             Date & Time                    
 37              0                Wed Jul 27 00:56:34 2022       
 36              1                Wed Jul 27 00:56:34 2022       
 35              0                Wed Jul 27 00:55:58 2022       
 34              1                Wed Jul 27 00:55:57 2022       
 33              0                Wed Jul 27 00:55:57 2022       
 32              1                Wed Jul 27 00:55:55 2022       
 31              0                Wed Jul 27 00:55:53 2022       
 30              1                Wed Jul 27 00:55:52 2022       
 29              0                Wed Jul 27 00:55:52 2022       
 28              1                Wed Jul 27 00:55:51 2022       
 27              0                Wed Jul 27 00:55:51 2022       
 26              1                Wed Jul 27 00:55:50 2022       
 25              0                Wed Jul 27 00:55:40 2022       
 24              1                Wed Jul 27 00:55:38 2022       
 23              0                Wed Jul 27 00:55:35 2022       
 22              1                Wed Jul 27 00:55:35 2022       
 21              0                Wed Jul 27 00:55:34 2022       
 20              2                Wed Jul 27 00:55:34 2022       
 19              1                Wed Jul 27 00:55:33 2022       
 18              0                Wed Jul 27 00:55:27 2022       

